baseSlug,player,name_key,reason
mike_batiste,Mike Batiste,mike batiste,no_headshot_file
mike_bratz,Mike Bratz,mike bratz,no_headshot_file
mike_brittain,Mike Brittain,mike brittain,no_headshot_file
mike_dantoni,Mike D'Antoni,mike dantoni,no_headshot_file
mike_davis,Mike Davis,mike davis,no_headshot_file
mike_evans,Mike Evans,mike evans,no_headshot_file
mike_flynn,Mike Flynn,mike flynn,no_headshot_file
mike_gale,Mike Gale,mike gale,no_headshot_file
mike_gibson,Mike Gibson,mike gibson,no_headshot_file
mike_glenn,Mike Glenn,mike glenn,no_headshot_file
mike_green,Mike Green,mike green,no_headshot_file
mike_harper,Mike Harper,mike harper,no_headshot_file
mike_iuzzolino,Mike Iuzzolino,mike iuzzolino,no_headshot_file
mike_lynn,Mike Lynn,mike lynn,no_headshot_file
mike_macaluso,Mike Macaluso,mike macaluso,no_headshot_file
mike_mcgee,Mike McGee,mike mcgee,no_headshot_file
mike_morrison,Mike Morrison,mike morrison,no_headshot_file
mike_niles,Mike Niles,mike niles,no_headshot_file
mike_penberthy,Mike Penberthy,mike penberthy,no_headshot_file
mike_peplowski,Mike Peplowski,mike peplowski,no_headshot_file
mike_price,Mike Price,mike price,no_headshot_file
mike_ratliff,Mike Ratliff,mike ratliff,no_headshot_file
mike_silliman,Mike Silliman,mike silliman,no_headshot_file
mike_smrek,Mike Smrek,mike smrek,no_headshot_file
mike_sojourner,Mike Sojourner,mike sojourner,no_headshot_file
mike_taylor,Mike Taylor,mike taylor,no_headshot_file
milt_wagner,Milt Wagner,milt wagner,no_headshot_file
milt_williams,Milt Williams,milt williams,no_headshot_file
mitchell_butler,Mitchell Butler,mitchell butler,no_headshot_file
mitchell_wiggins,Mitchell Wiggins,mitchell wiggins,no_headshot_file
mo_howard,Mo Howard,mo howard,no_headshot_file
mo_layton,Mo Layton,mo layton,no_headshot_file
moe_barr,Moe Barr,moe barr,no_headshot_file
monte_towe,Monte Towe,monte towe,no_headshot_file
monty_williams,Monty Williams,monty williams,no_headshot_file
moochie_norris,Moochie Norris,moochie norris,no_headshot_file
morlon_wiley,Morlon Wiley,morlon wiley,no_headshot_file
mouhamed_sene,Mouhamed Sene,mouhamed sene,no_headshot_file
nate_bowman,Nate Bowman,nate bowman,no_headshot_file
nate_hawthorne,Nate Hawthorne,nate hawthorne,no_headshot_file
nathan_jawai,Nathan Jawai,nathan jawai,no_headshot_file
neil_johnson,Neil Johnson,neil johnson,no_headshot_file
nick_jones,Nick Jones,nick jones,no_headshot_file
